gene_id,transcript_id
ENSG00000160471,ENST00000588572
ENSG00000160471,ENST00000326529
ENSG00000160752,ENST00000356657
ENSG00000160752,ENST00000368356
ENSG00000162129,ENST00000538039
ENSG00000162129,ENST00000340729
ENSG00000162129,ENST00000543042
ENSG00000162241,ENST00000534028
ENSG00000162241,ENST00000526432
ENSG00000162241,ENST00000294187
ENSG00000162433,ENST00000327299
ENSG00000162433,ENST00000546702
ENSG00000163170,ENST00000327428
ENSG00000163170,ENST00000295326
ENSG00000163319,ENST00000295491
ENSG00000163319,ENST00000507019
ENSG00000164209,ENST00000355943
ENSG00000164209,ENST00000513807
ENSG00000164398,ENST00000434099
ENSG00000164398,ENST00000379255
ENSG00000164398,ENST00000414078
ENSG00000164398,ENST00000379246
ENSG00000164494,ENST00000369037
ENSG00000164494,ENST00000369031
ENSG00000165629,ENST00000356708
ENSG00000165629,ENST00000335698
ENSG00000165792,ENST00000382985
ENSG00000165792,ENST00000339374
ENSG00000166411,ENST00000299518
ENSG00000166411,ENST00000558554
ENSG00000166743,ENST00000307493
ENSG00000166743,ENST00000520010
ENSG00000167315,ENST00000285093
ENSG00000167315,ENST00000586485
ENSG00000167468,ENST00000611653
ENSG00000167468,ENST00000354171
ENSG00000168827,ENST00000486715
ENSG00000168827,ENST00000478576
ENSG00000169169,ENST00000598293
ENSG00000169169,ENST00000323446
ENSG00000169519,ENST00000303459
ENSG00000169519,ENST00000406787
ENSG00000171204,ENST00000358867
ENSG00000171204,ENST00000534341
ENSG00000171791,ENST00000333681
ENSG00000171791,ENST00000398117
ENSG00000173599,ENST00000393958
ENSG00000173599,ENST00000393955
ENSG00000174032,ENST00000519676
ENSG00000174032,ENST00000539591
ENSG00000174099,ENST00000308259
ENSG00000174099,ENST00000355192
ENSG00000174606,ENST00000360506
ENSG00000174606,ENST00000366962
ENSG00000174840,ENST00000311180
ENSG00000174840,ENST00000487257
ENSG00000175536,ENST00000310109
ENSG00000175536,ENST00000527115
ENSG00000175581,ENST00000411840
ENSG00000175581,ENST00000310614
ENSG00000177427,ENST00000395706
ENSG00000177427,ENST00000323019
ENSG00000177692,ENST00000381947
ENSG00000177692,ENST00000314399
ENSG00000178445,ENST00000321612
ENSG00000178445,ENST00000640208
ENSG00000182054,ENST00000540499
ENSG00000182054,ENST00000330062
ENSG00000182902,ENST00000327451
ENSG00000182902,ENST00000399813
ENSG00000183032,ENST00000331299
ENSG00000183032,ENST00000555449
ENSG00000184831,ENST00000439528
ENSG00000184831,ENST00000379226
ENSG00000184867,ENST00000356824
ENSG00000184867,ENST00000330154
ENSG00000184903,ENST00000331762
ENSG00000184903,ENST00000405709
ENSG00000185973,ENST00000334398
ENSG00000185973,ENST00000369439
ENSG00000186281,ENST00000359548
ENSG00000186281,ENST00000453542
ENSG00000197150,ENST00000358849
ENSG00000197150,ENST00000297504
ENSG00000197444,ENST00000374103
ENSG00000197444,ENST00000432695
ENSG00000197448,ENST00000358406
ENSG00000197448,ENST00000479303
ENSG00000197912,ENST00000341316
ENSG00000197912,ENST00000565891
ENSG00000198721,ENST00000380118
ENSG00000198721,ENST00000361538
ENSG00000203667,ENST00000411948
ENSG00000203667,ENST00000366528
ENSG00000204099,ENST00000407683
ENSG00000204099,ENST00000405370
ENSG00000204564,ENST00000376473
ENSG00000204564,ENST00000446773
ENSG00000205560,ENST00000312108
ENSG00000205560,ENST00000405237
ENSG00000213585,ENST00000395044
ENSG00000213585,ENST00000265333
ENSG00000241935,ENST00000370647
ENSG00000241935,ENST00000370646
ENSG00000243147,ENST00000379666
ENSG00000243147,ENST00000296102
ENSG00000266472,ENST00000581066
ENSG00000266472,ENST00000614145
ENSG00000267673,ENST00000492239
ENSG00000267673,ENST00000393708
